                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 123/123 [03:54<00:00, 
                   all       1961      10492      0.646      0.502      0.561       0.41
           bottle-blue       1961        754      0.527      0.481      0.509      0.353
          bottle-green       1961        542      0.657      0.659      0.713      0.497
           bottle-dark       1961        664       0.65      0.645      0.697      0.465
           bottle-milk       1961        395      0.504       0.46      0.471       0.34
         bottle-transp       1961       1707      0.568      0.527      0.553      0.381
     bottle-multicolor       1961        155      0.461      0.213      0.273      0.195
         bottle-yogurt       1961        327      0.741      0.324      0.481      0.339
            bottle-oil       1961        330      0.388      0.285      0.282      0.204
                  cans       1961        675      0.619      0.418      0.511      0.351
       juice-cardboard       1961        308      0.518       0.38      0.434      0.322
        milk-cardboard       1961        456       0.56      0.581      0.604      0.446
       detergent-color       1961        375      0.602       0.48      0.568      0.423
 detergent-transparent       1961        306      0.461      0.134      0.226      0.164
         detergent-box       1961         76      0.695      0.658      0.726      0.589
              canister       1961        180      0.842      0.683      0.748      0.599
      bottle-blue-full       1961        353      0.659      0.601      0.661      0.478
    bottle-transp-full       1961        618      0.727      0.621        0.7      0.516
      bottle-dark-full       1961        204       0.73      0.691      0.739      0.559
     bottle-green-full       1961        288      0.848      0.771      0.851      0.653
bottle-multicolor-full       1961        122      0.632       0.41      0.519      0.411
      bottle-milk-full       1961        125        0.7      0.688      0.731      0.577
       bottle-oil-full       1961         25          1          0      0.026     0.0179
       detergent-white       1961        385       0.56      0.483      0.552      0.427
         bottle-blue5l       1961        469      0.633      0.708      0.751      0.534
    bottle-blue5l-full       1961        109      0.823      0.852      0.884      0.676
          glass-transp       1961        197      0.553      0.208      0.278      0.177
            glass-dark       1961        172      0.641      0.523      0.588      0.367
           glass-green       1961        175      0.779      0.565      0.639      0.409
