                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 123/123 [03:51<00:00, 
                   all       1961       7031      0.612      0.603      0.624      0.456
           bottle-blue       1961        507      0.565      0.647      0.625      0.429
          bottle-green       1961        356      0.593      0.826      0.795      0.581
           bottle-dark       1961        431      0.671      0.898      0.881       0.62
           bottle-milk       1961        270      0.504      0.467      0.484      0.358
         bottle-transp       1961       1140      0.586      0.661      0.652      0.452
     bottle-multicolor       1961        102      0.434      0.278      0.284      0.196
         bottle-yogurt       1961        214      0.707      0.371      0.506      0.353
            bottle-oil       1961        221       0.34       0.45      0.338      0.234
                  cans       1961        451      0.612      0.621      0.654      0.426
       juice-cardboard       1961        209      0.415      0.438      0.425      0.313
        milk-cardboard       1961        323      0.538      0.715      0.663      0.497
       detergent-color       1961        238      0.514      0.534      0.523      0.388
 detergent-transparent       1961        199      0.434      0.136      0.215      0.156
         detergent-box       1961         51      0.543      0.725      0.698      0.573
              canister       1961        121      0.679       0.86      0.831      0.671
      bottle-blue-full       1961        232      0.654      0.668      0.718      0.541
    bottle-transp-full       1961        425      0.751      0.666       0.77      0.574
      bottle-dark-full       1961        141      0.741      0.723      0.801      0.591
     bottle-green-full       1961        192      0.781      0.776      0.855      0.636
bottle-multicolor-full       1961         78      0.598      0.564      0.557      0.412
      bottle-milk-full       1961         88      0.773      0.693      0.809      0.664
       bottle-oil-full       1961         17          1          0     0.0422     0.0324
       detergent-white       1961        262      0.561      0.496      0.556      0.431
         bottle-blue5l       1961        327      0.529      0.908      0.833      0.611
    bottle-blue5l-full       1961         69      0.679       0.87      0.875      0.704
          glass-transp       1961        141      0.543      0.426      0.514      0.307
            glass-dark       1961        116      0.649      0.733      0.779      0.499
           glass-green       1961        110      0.753      0.721       0.79      0.508
