                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 123/123 [03:56<00:00, 
                   all       1961      14072      0.418      0.322      0.302      0.196
           bottle-blue       1961        983      0.288      0.251      0.184      0.101
          bottle-green       1961        724      0.455      0.569      0.508      0.316
           bottle-dark       1961        857      0.423      0.398      0.349      0.179
           bottle-milk       1961        548      0.374      0.294      0.247       0.17
         bottle-transp       1961       2247      0.405      0.278      0.271       0.16
     bottle-multicolor       1961        193      0.143    0.00518     0.0364     0.0226
         bottle-yogurt       1961        447      0.428      0.206      0.219      0.144
            bottle-oil       1961        416        0.2      0.118     0.0915     0.0574
                  cans       1961        950      0.366      0.329      0.297      0.181
       juice-cardboard       1961        435      0.288      0.276      0.212      0.144
        milk-cardboard       1961        659      0.299      0.401      0.295      0.204
       detergent-color       1961        492      0.429       0.32      0.294      0.211
 detergent-transparent       1961        404      0.277      0.099     0.0857     0.0575
         detergent-box       1961        111      0.484      0.486      0.501      0.369
              canister       1961        225      0.373      0.342      0.316      0.227
      bottle-blue-full       1961        471      0.406      0.448      0.354      0.211
    bottle-transp-full       1961        842      0.561      0.494      0.515      0.332
      bottle-dark-full       1961        298      0.599      0.446      0.468      0.284
     bottle-green-full       1961        367      0.617      0.657      0.684      0.472
bottle-multicolor-full       1961        165      0.433      0.121      0.172      0.122
      bottle-milk-full       1961        183      0.601      0.461      0.502       0.38
       bottle-oil-full       1961         35          1          0    0.00923    0.00779
       detergent-white       1961        523      0.474      0.363      0.362       0.25
         bottle-blue5l       1961        618      0.303      0.458      0.348      0.205
    bottle-blue5l-full       1961        136      0.529      0.559      0.561      0.367
          glass-transp       1961        287       0.23     0.0627     0.0651     0.0299
            glass-dark       1961        240      0.342        0.2      0.174     0.0911
           glass-green       1961        216       0.39       0.37      0.334      0.181
