                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 123/123 [03:54<00:00, 
                   all       1961       7031      0.732      0.693       0.76      0.605
           bottle-blue       1961        507      0.644      0.753       0.77       0.59
          bottle-green       1961        356      0.772      0.854      0.881      0.702
           bottle-dark       1961        431      0.822      0.913       0.94      0.739
           bottle-milk       1961        270      0.629      0.585      0.669      0.534
         bottle-transp       1961       1140      0.717      0.712      0.777      0.602
     bottle-multicolor       1961        102      0.579      0.323      0.456      0.345
         bottle-yogurt       1961        214      0.812      0.503      0.709      0.545
            bottle-oil       1961        221       0.43      0.529      0.466      0.367
                  cans       1961        451      0.814      0.672      0.804      0.583
       juice-cardboard       1961        209       0.57      0.614       0.67      0.533
        milk-cardboard       1961        323      0.654      0.762      0.794      0.647
       detergent-color       1961        238      0.672      0.626      0.704      0.569
 detergent-transparent       1961        199      0.559      0.322      0.431       0.35
         detergent-box       1961         51      0.758      0.765      0.845      0.685
              canister       1961        121      0.722      0.868      0.902      0.782
      bottle-blue-full       1961        232      0.796       0.81      0.864       0.69
    bottle-transp-full       1961        425       0.82      0.769      0.882      0.731
      bottle-dark-full       1961        141      0.834       0.89      0.944      0.774
     bottle-green-full       1961        192      0.876      0.916      0.954        0.8
bottle-multicolor-full       1961         78      0.707       0.68      0.742       0.63
      bottle-milk-full       1961         88      0.801      0.841      0.871       0.74
       bottle-oil-full       1961         17          1          0      0.118     0.0995
       detergent-white       1961        262       0.67      0.592       0.71      0.598
         bottle-blue5l       1961        327       0.65      0.951      0.919      0.739
    bottle-blue5l-full       1961         69      0.802      0.957      0.966      0.805
          glass-transp       1961        141      0.731       0.52       0.67      0.459
            glass-dark       1961        116      0.766      0.888      0.895      0.627
           glass-green       1961        110      0.898      0.802      0.935      0.678
