                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 123/123 [03:54<00:00, 
                   all       1961       7031      0.809      0.744      0.827      0.686
           bottle-blue       1961        507      0.759      0.785      0.854      0.686
          bottle-green       1961        356       0.82      0.882      0.938      0.775
           bottle-dark       1961        431      0.797       0.93      0.947      0.777
           bottle-milk       1961        270       0.81       0.74      0.817      0.677
         bottle-transp       1961       1140      0.806      0.721      0.838      0.679
     bottle-multicolor       1961        102      0.713      0.471      0.611      0.477
         bottle-yogurt       1961        214      0.873      0.472      0.732      0.578
            bottle-oil       1961        221      0.565      0.529       0.58      0.467
                  cans       1961        451      0.733      0.647      0.751      0.568
       juice-cardboard       1961        209      0.741      0.589       0.71      0.584
        milk-cardboard       1961        323      0.724      0.757      0.833      0.692
       detergent-color       1961        238      0.846      0.695       0.82      0.682
 detergent-transparent       1961        199      0.735      0.422      0.585      0.494
         detergent-box       1961         51      0.754      0.843      0.905      0.768
              canister       1961        121      0.897      0.917      0.946      0.853
      bottle-blue-full       1961        232       0.84      0.927      0.954      0.798
    bottle-transp-full       1961        425      0.894      0.891      0.953      0.806
      bottle-dark-full       1961        141       0.88      0.922      0.969      0.839
     bottle-green-full       1961        192      0.884      0.964      0.982      0.852
bottle-multicolor-full       1961         78      0.808      0.744      0.871      0.751
      bottle-milk-full       1961         88      0.811      0.898      0.958      0.842
       bottle-oil-full       1961         17      0.852      0.118      0.248      0.216
       detergent-white       1961        262       0.84      0.679      0.826      0.699
         bottle-blue5l       1961        327      0.853      0.945      0.966      0.808
    bottle-blue5l-full       1961         69      0.929          1      0.993      0.863
          glass-transp       1961        141      0.803      0.603      0.732       0.53
            glass-dark       1961        116      0.801      0.888      0.909       0.71
           glass-green       1961        110      0.888      0.867      0.929      0.742
