                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.64,                 4.5167,                 1.4537,                0.26476,                0.12796,                 0.0488,                0.03393,                  1.351,                 3.8776,                 1.2326,             0.00010366,             0.00010366,             0.00010366
                      2,                 1.5054,                 3.6423,                 1.3406,                0.10587,                 0.1888,                0.08835,                0.06369,                  1.222,                 3.3797,                 1.1732,             0.00020387,             0.00020387,             0.00020387
                      3,                  1.426,                  3.231,                 1.3324,                 0.3575,                0.25238,                  0.175,                0.12453,                 1.1836,                 3.0039,                 1.1764,             0.00029995,             0.00029995,             0.00029995
                      4,                 1.3713,                 2.9659,                 1.3137,                0.35787,                0.31098,                0.21768,                0.15276,                 1.1235,                 2.8647,                 1.1464,             0.00029441,             0.00029441,             0.00029441
                      5,                 1.3443,                 2.7666,                 1.2914,                0.33251,                0.35531,                0.24963,                0.18281,                 1.1147,                 2.6778,                 1.1423,             0.00028821,             0.00028821,             0.00028821
                      6,                 1.3027,                 2.6269,                 1.2679,                0.45147,                0.36172,                0.29665,                0.21381,                 1.0984,                 2.6712,                 1.1437,             0.00028201,             0.00028201,             0.00028201
                      7,                 1.2821,                 2.5414,                 1.2552,                0.36924,                0.38592,                0.30771,                0.21408,                 1.1838,                 2.5041,                 1.1789,             0.00027582,             0.00027582,             0.00027582
                      8,                 1.2524,                 2.4569,                 1.2409,                0.42108,                0.37341,                0.31971,                0.22883,                  1.117,                  2.557,                 1.1471,             0.00026962,             0.00026962,             0.00026962
                      9,                 1.2457,                 2.3779,                 1.2341,                0.33241,                0.46357,                 0.3457,                0.25903,                 1.0457,                 2.3881,                 1.1103,             0.00026342,             0.00026342,             0.00026342
                     10,                 1.2255,                 2.3344,                 1.2228,                0.41648,                0.42891,                0.34936,                0.25247,                 1.0696,                 2.3311,                 1.1292,             0.00025722,             0.00025722,             0.00025722
                     11,                 1.2079,                 2.2495,                 1.2132,                0.40711,                 0.4198,                0.35961,                0.26467,                  1.058,                 2.3009,                  1.113,             0.00025103,             0.00025103,             0.00025103
                     12,                 1.2009,                 2.2029,                 1.2038,                0.44637,                0.42115,                0.37845,                0.28074,                 1.0381,                 2.2144,                 1.1033,             0.00024483,             0.00024483,             0.00024483
                     13,                 1.1942,                 2.1652,                 1.1995,                0.42462,                0.46214,                0.40656,                0.30596,                 1.0382,                 2.1321,                 1.1037,             0.00023863,             0.00023863,             0.00023863
                     14,                 1.1792,                 2.1252,                 1.1934,                0.44382,                0.43551,                0.38799,                0.27862,                 1.0899,                 2.2193,                 1.1279,             0.00023243,             0.00023243,             0.00023243
                     15,                  1.172,                 2.0861,                 1.1883,                0.39789,                0.45531,                0.39716,                0.28871,                 1.0707,                 2.1728,                  1.111,             0.00022624,             0.00022624,             0.00022624
                     16,                 1.1479,                  2.023,                  1.174,                0.42828,                0.45076,                0.41437,                0.30997,                 1.0365,                 2.1048,                 1.1023,             0.00022004,             0.00022004,             0.00022004
                     17,                 1.1596,                 2.0175,                   1.18,                0.47717,                0.42806,                0.41726,                0.31453,                 1.0258,                 2.0867,                 1.0924,             0.00021384,             0.00021384,             0.00021384
                     18,                 1.1398,                 1.9762,                  1.169,                0.49684,                 0.4466,                0.43642,                0.32536,                 1.0195,                 2.0348,                 1.0932,             0.00020764,             0.00020764,             0.00020764
                     19,                 1.1274,                 1.9325,                  1.164,                 0.4985,                0.44036,                0.44129,                0.32796,                 1.0383,                 2.0035,                  1.099,             0.00020145,             0.00020145,             0.00020145
                     20,                  1.139,                 1.9281,                 1.1676,                0.42973,                0.47514,                 0.4321,                0.31712,                  1.077,                 2.0634,                 1.1205,             0.00019525,             0.00019525,             0.00019525
                     21,                 1.1238,                 1.8954,                 1.1641,                0.50763,                0.44361,                0.45233,                0.33631,                  1.024,                 1.9832,                 1.0955,             0.00018905,             0.00018905,             0.00018905
                     22,                 1.1244,                 1.8643,                 1.1552,                0.49502,                0.44335,                0.43813,                 0.3289,                 1.0208,                 2.0222,                 1.0909,             0.00018285,             0.00018285,             0.00018285
                     23,                 1.1189,                 1.8576,                 1.1588,                0.49663,                 0.4434,                0.45034,                0.33365,                 1.0376,                 1.9901,                 1.1026,             0.00017666,             0.00017666,             0.00017666
                     24,                 1.1056,                 1.8175,                 1.1464,                0.44292,                 0.4954,                 0.4434,                0.33683,                 0.9968,                 1.9612,                 1.0837,             0.00017046,             0.00017046,             0.00017046
                     25,                 1.0855,                 1.7796,                  1.132,                0.46593,                0.43948,                0.43167,                 0.3203,                 1.0532,                 1.9884,                 1.1121,             0.00016426,             0.00016426,             0.00016426
                     26,                 1.0918,                 1.7761,                 1.1391,                0.44153,                0.47459,                0.43368,                0.32114,                 1.0475,                 2.0372,                 1.1081,             0.00015807,             0.00015807,             0.00015807
                     27,                 1.0893,                 1.7394,                  1.133,                0.52129,                0.43443,                0.44677,                0.33593,                 1.0037,                 1.9562,                 1.0948,             0.00015187,             0.00015187,             0.00015187
                     28,                 1.0681,                 1.7083,                 1.1235,                0.53065,                 0.4285,                0.45347,                0.33622,                 1.0359,                 1.9513,                 1.0967,             0.00014567,             0.00014567,             0.00014567
                     29,                 1.0818,                 1.6986,                 1.1293,                0.48718,                0.45163,                0.44626,                0.33598,                 1.0094,                  1.988,                 1.0871,             0.00013947,             0.00013947,             0.00013947
                     30,                 1.0758,                 1.6919,                 1.1284,                0.47289,                0.43204,                0.43344,                0.32183,                 1.0404,                 1.9892,                 1.1066,             0.00013328,             0.00013328,             0.00013328
                     31,                 1.0632,                 1.6665,                 1.1198,                0.51239,                0.43886,                0.44959,                0.33668,                 1.0285,                 1.9826,                 1.1041,             0.00012708,             0.00012708,             0.00012708
                     32,                 1.0394,                 1.6135,                 1.1126,                0.53293,                0.43993,                0.45335,                0.33887,                  1.025,                 1.9557,                 1.1031,             0.00012088,             0.00012088,             0.00012088
                     33,                 1.0499,                  1.617,                 1.1112,                0.51054,                0.45458,                0.45572,                 0.3435,                 1.0138,                 1.9245,                 1.0957,             0.00011468,             0.00011468,             0.00011468
                     34,                 1.0588,                 1.6105,                 1.1189,                0.49162,                0.45264,                0.45258,                0.33839,                 1.0047,                 1.9215,                 1.0911,             0.00010849,             0.00010849,             0.00010849
                     35,                 1.0336,                 1.5693,                 1.1059,                 0.4937,                0.43591,                0.43779,                0.32587,                 1.0346,                  2.003,                 1.1107,             0.00010229,             0.00010229,             0.00010229
                     36,                 1.0353,                 1.5577,                 1.1067,                0.45098,                0.47822,                0.44112,                0.33053,                   1.03,                 2.0275,                 1.1041,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                  1.019,                 1.5296,                 1.0959,                0.50029,                0.44584,                 0.4534,                0.33675,                 1.0353,                 1.9481,                 1.1115,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                   1.03,                 1.5323,                 1.1007,                0.47275,                0.47143,                0.45009,                0.33233,                 1.0397,                 1.9573,                 1.1127,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                 1.0107,                 1.4882,                 1.0914,                0.49704,                0.45634,                0.44962,                0.33754,                 1.0371,                 1.9737,                 1.1155,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                 1.0146,                 1.4877,                 1.0872,                0.53796,                0.44352,                0.45943,                0.34324,                  1.028,                  1.972,                 1.1111,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                0.97447,                 1.4939,                 1.0826,                0.44784,                0.43676,                0.41079,                0.30234,                 1.0973,                 2.1463,                 1.1531,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                 0.9083,                 1.3294,                 1.0504,                0.49708,                0.46502,                0.45304,                0.34095,                 1.0433,                 2.0284,                 1.1157,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                0.90957,                 1.3073,                 1.0488,                0.52456,                 0.4414,                0.44882,                0.33727,                  1.035,                 2.0187,                 1.1123,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                0.88792,                 1.2721,                 1.0361,                0.52974,                0.42807,                0.45512,                0.34305,                 1.0259,                  2.001,                 1.1093,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                0.89357,                 1.2648,                 1.0346,                0.51539,                 0.4509,                0.45416,                 0.3419,                 1.0321,                 2.0086,                 1.1141,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                0.88766,                 1.2326,                 1.0337,                0.56643,                0.39888,                0.44546,                0.33646,                 1.0371,                 2.0475,                 1.1168,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.88251,                 1.2284,                 1.0312,                0.55272,                0.42018,                0.45467,                0.34049,                 1.0398,                 2.0091,                 1.1161,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                0.87722,                 1.2175,                 1.0242,                0.56766,                 0.4098,                0.45366,                0.34274,                 1.0234,                 2.0293,                 1.1102,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     49,                0.87287,                  1.203,                 1.0215,                0.52948,                0.43709,                0.45594,                0.34265,                 1.0292,                 2.0215,                 1.1113,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     50,                0.86748,                 1.1942,                 1.0244,                 0.5607,                0.42621,                0.45859,                0.34645,                 1.0251,                 2.0234,                  1.111,             9.3274e-06,             9.3274e-06,             9.3274e-06
