                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6008,                 4.5014,                 1.4147,                0.26649,                0.13415,                0.04764,                0.03279,                  1.337,                 3.8876,                 1.2179,             0.00010366,             0.00010366,             0.00010366
                      2,                 1.4535,                 3.6006,                 1.3063,                0.16033,                 0.1736,                0.08584,                0.06258,                 1.1921,                 3.3932,                 1.1834,             0.00020387,             0.00020387,             0.00020387
                      3,                 1.3752,                 3.1636,                 1.2895,                0.33417,                0.24921,                0.17356,                0.11797,                 1.2103,                 3.0258,                 1.1856,             0.00029995,             0.00029995,             0.00029995
                      4,                 1.3155,                 2.9026,                 1.2715,                0.33984,                0.32701,                0.21982,                0.15127,                 1.1725,                 2.8595,                 1.1547,             0.00029441,             0.00029441,             0.00029441
                      5,                 1.2946,                 2.6921,                 1.2522,                0.32563,                0.34096,                0.26376,                0.19257,                 1.1313,                 2.6513,                 1.1482,             0.00028821,             0.00028821,             0.00028821
                      6,                 1.2475,                  2.558,                 1.2254,                0.43977,                0.32325,                0.29306,                0.20908,                  1.101,                 2.6226,                  1.151,             0.00028201,             0.00028201,             0.00028201
                      7,                 1.2238,                 2.4612,                 1.2119,                0.34924,                0.38108,                0.31287,                0.21838,                 1.1512,                 2.5083,                 1.1548,             0.00027582,             0.00027582,             0.00027582
                      8,                 1.2028,                 2.3719,                 1.2026,                0.41071,                0.35764,                0.31707,                0.22505,                 1.1233,                 2.5498,                 1.1492,             0.00026962,             0.00026962,             0.00026962
                      9,                 1.1958,                  2.287,                 1.1928,                0.41264,                0.37317,                 0.3431,                0.25492,                 1.0482,                 2.3578,                 1.1086,             0.00026342,             0.00026342,             0.00026342
                     10,                 1.1648,                 2.2498,                 1.1764,                0.38977,                0.40829,                0.35818,                0.26833,                 1.0307,                 2.3127,                 1.1133,             0.00025722,             0.00025722,             0.00025722
                     11,                 1.1577,                 2.1563,                 1.1708,                0.43838,                0.40885,                0.36761,                0.27391,                 1.0386,                  2.245,                 1.1046,             0.00025103,             0.00025103,             0.00025103
                     12,                 1.1438,                 2.0947,                 1.1623,                0.41444,                0.45428,                0.38623,                0.28979,                 1.0317,                 2.1511,                  1.099,             0.00024483,             0.00024483,             0.00024483
                     13,                 1.1359,                 2.0647,                 1.1593,                0.42972,                0.42788,                 0.3873,                0.28925,                 1.0451,                 2.2037,                 1.1132,             0.00023863,             0.00023863,             0.00023863
