                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6252,                 4.5831,                 1.4244,                0.21207,                0.12805,                0.03404,                0.02107,                 1.5015,                 4.0026,                 1.3273,             0.00010349,             0.00010349,             0.00010349
                      2,                 1.5097,                 3.5739,                 1.3118,                0.19344,                0.16896,                0.08237,                0.05079,                 1.4191,                 3.3812,                 1.3579,              0.0002037,              0.0002037,              0.0002037
                      3,                 1.4082,                 3.0634,                 1.2911,                0.26751,                0.31738,                 0.1922,                  0.123,                 1.2611,                 2.8715,                 1.1926,             0.00029979,             0.00029979,             0.00029979
                      4,                 1.3335,                 2.7458,                 1.2527,                0.30547,                0.33588,                0.24852,                0.16658,                 1.1976,                  2.596,                 1.1541,             0.00029441,             0.00029441,             0.00029441
                      5,                 1.2906,                   2.57,                 1.2263,                0.27978,                0.41465,                 0.3022,                0.20462,                 1.1631,                 2.4831,                  1.141,             0.00028821,             0.00028821,             0.00028821
                      6,                 1.2488,                 2.4115,                 1.1982,                0.39315,                0.40436,                0.35494,                0.24593,                 1.1308,                 2.3014,                 1.1337,             0.00028201,             0.00028201,             0.00028201
                      7,                 1.2229,                 2.2753,                   1.18,                0.47078,                0.37938,                0.39851,                0.27959,                 1.1018,                 2.1457,                 1.1027,             0.00027582,             0.00027582,             0.00027582
                      8,                 1.2086,                 2.2165,                 1.1736,                0.40054,                0.48277,                0.38647,                0.27113,                  1.118,                 2.1058,                 1.1085,             0.00026962,             0.00026962,             0.00026962
                      9,                 1.1632,                 2.1312,                 1.1513,                0.42486,                0.45431,                0.39993,                0.28028,                 1.1106,                 2.1178,                 1.1108,             0.00026342,             0.00026342,             0.00026342
                     10,                 1.1549,                 2.0649,                 1.1444,                0.47175,                0.47346,                0.44178,                0.31188,                 1.0785,                 1.9727,                 1.0971,             0.00025722,             0.00025722,             0.00025722
                     11,                 1.1327,                 2.0326,                 1.1364,                0.47495,                0.50616,                0.45884,                0.32816,                 1.0673,                 1.9832,                 1.0888,             0.00025103,             0.00025103,             0.00025103
                     12,                 1.1245,                 1.9554,                 1.1229,                0.43475,                0.51319,                0.46364,                0.33539,                 1.0556,                 1.9045,                 1.0891,             0.00024483,             0.00024483,             0.00024483
                     13,                  1.116,                 1.9178,                 1.1224,                 0.4966,                  0.509,                 0.4699,                0.33552,                 1.0718,                 1.8592,                 1.0856,             0.00023863,             0.00023863,             0.00023863
                     14,                 1.1047,                 1.8735,                  1.116,                0.45868,                0.50978,                0.46633,                0.33358,                 1.0576,                 1.8301,                 1.0784,             0.00023243,             0.00023243,             0.00023243
                     15,                 1.0898,                 1.8294,                 1.1044,                0.46732,                0.49785,                0.47898,                0.34313,                 1.0547,                 1.8498,                 1.0794,             0.00022624,             0.00022624,             0.00022624
                     16,                 1.0857,                 1.7954,                 1.1006,                0.46839,                0.50107,                0.47796,                0.34622,                 1.0613,                 1.7818,                 1.0821,             0.00022004,             0.00022004,             0.00022004
                     17,                 1.0771,                 1.7784,                  1.099,                0.52187,                0.50725,                0.50303,                0.36119,                  1.063,                 1.7479,                 1.0833,             0.00021384,             0.00021384,             0.00021384
                     18,                  1.062,                 1.7319,                 1.0905,                 0.4778,                0.53398,                0.49463,                0.35797,                 1.0414,                 1.7714,                 1.0756,             0.00020764,             0.00020764,             0.00020764
                     19,                 1.0429,                 1.6935,                 1.0827,                0.45738,                0.53178,                0.48401,                0.34255,                  1.092,                 1.8033,                 1.0843,             0.00020145,             0.00020145,             0.00020145
                     20,                 1.0556,                 1.6886,                  1.085,                0.45753,                0.54143,                0.49127,                0.35598,                 1.0233,                  1.734,                 1.0662,             0.00019525,             0.00019525,             0.00019525
                     21,                 1.0427,                 1.6482,                 1.0804,                0.49889,                0.52272,                0.50877,                0.37023,                 1.0411,                 1.7257,                 1.0665,             0.00018905,             0.00018905,             0.00018905
                     22,                 1.0258,                 1.6322,                 1.0699,                0.47173,                0.54616,                0.51974,                0.37366,                 1.0406,                 1.7055,                 1.0699,             0.00018285,             0.00018285,             0.00018285
                     23,                 1.0124,                  1.593,                  1.065,                 0.5474,                0.53476,                0.53305,                0.38506,                 1.0171,                 1.6554,                 1.0594,             0.00017666,             0.00017666,             0.00017666
                     24,                 1.0136,                 1.5866,                 1.0692,                0.48441,                0.56703,                0.52574,                0.38323,                 1.0203,                 1.6772,                 1.0657,             0.00017046,             0.00017046,             0.00017046
                     25,                 1.0144,                 1.5578,                 1.0658,                0.50896,                0.55233,                0.53618,                0.39179,                 1.0331,                 1.6186,                 1.0708,             0.00016426,             0.00016426,             0.00016426
                     26,                0.99622,                 1.5201,                 1.0526,                 0.5523,                0.52703,                0.53606,                0.38825,                 1.0263,                 1.6121,                 1.0641,             0.00015807,             0.00015807,             0.00015807
                     27,                0.99075,                 1.5265,                 1.0529,                0.51656,                0.54378,                0.53878,                 0.3875,                 1.0454,                 1.6086,                 1.0727,             0.00015187,             0.00015187,             0.00015187
                     28,                0.98272,                 1.4855,                 1.0469,                 0.5632,                0.53804,                0.54831,                 0.4018,                 1.0158,                 1.5999,                 1.0604,             0.00014567,             0.00014567,             0.00014567
                     29,                0.98629,                 1.4699,                 1.0472,                0.51289,                0.54101,                0.53072,                0.38758,                 1.0169,                 1.6047,                 1.0627,             0.00013947,             0.00013947,             0.00013947
                     30,                0.98108,                 1.4511,                 1.0508,                 0.5332,                0.55174,                0.53615,                0.39219,                 1.0048,                 1.6143,                 1.0545,             0.00013328,             0.00013328,             0.00013328
                     31,                0.97138,                  1.447,                  1.044,                0.52079,                0.57218,                0.53917,                0.39445,                0.99822,                 1.5942,                 1.0502,             0.00012708,             0.00012708,             0.00012708
                     32,                0.96352,                 1.4153,                  1.037,                0.51683,                0.54359,                0.53312,                 0.3967,                0.99516,                 1.6159,                 1.0453,             0.00012088,             0.00012088,             0.00012088
                     33,                0.95206,                 1.3864,                 1.0357,                 0.4961,                0.58583,                0.54535,                0.40321,                0.98414,                 1.5843,                 1.0408,             0.00011468,             0.00011468,             0.00011468
                     34,                0.95623,                 1.3958,                 1.0356,                0.54393,                 0.5397,                0.54229,                 0.4024,                 1.0023,                 1.5633,                 1.0545,             0.00010849,             0.00010849,             0.00010849
                     35,                0.94155,                 1.3742,                 1.0309,                0.51233,                0.56801,                0.54664,                0.40082,                 1.0093,                 1.5873,                 1.0605,             0.00010229,             0.00010229,             0.00010229
                     36,                0.95142,                 1.3618,                  1.031,                0.55559,                0.54491,                0.54818,                0.40767,                 1.0004,                  1.558,                 1.0514,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                0.93902,                 1.3289,                 1.0301,                0.56011,                0.55924,                0.56101,                0.41349,                 0.9913,                 1.5137,                 1.0505,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                0.93584,                 1.3129,                 1.0219,                0.52757,                0.56026,                 0.5507,                  0.409,                 0.9889,                 1.5648,                 1.0439,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                0.93512,                 1.3084,                 1.0238,                0.54252,                0.56367,                0.54896,                0.40683,                0.98561,                 1.5609,                 1.0455,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                0.92639,                 1.3115,                  1.024,                0.53208,                0.56381,                0.55206,                0.40898,                0.98483,                 1.5509,                 1.0453,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                0.88893,                 1.2886,                 1.0071,                0.53361,                0.55768,                0.54348,                0.40182,                 1.0007,                 1.5566,                 1.0533,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                0.83397,                 1.1342,                0.98053,                0.53046,                0.55028,                0.53636,                0.39431,                0.99514,                 1.5827,                 1.0499,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                0.80739,                 1.0805,                0.96669,                0.51676,                0.56067,                0.53848,                0.39914,                0.99537,                 1.5779,                 1.0576,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                0.80964,                 1.0821,                0.96134,                0.50904,                0.58027,                0.54944,                0.40308,                0.99991,                 1.5421,                 1.0601,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                0.80032,                 1.0593,                0.96032,                0.55599,                0.55601,                0.55415,                0.41067,                0.98403,                  1.544,                 1.0452,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                0.79232,                  1.036,                0.96031,                0.55926,                0.53965,                0.54971,                0.40864,                0.98787,                 1.5676,                 1.0479,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.78933,                 1.0406,                0.95506,                0.56216,                0.54975,                0.55811,                0.41429,                 0.9816,                 1.5389,                 1.0439,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                0.77855,                 1.0207,                0.95188,                0.52909,                0.57473,                0.55472,                0.41252,                0.98902,                 1.5514,                 1.0487,             2.1722e-05,             2.1722e-05,             2.1722e-05
