                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5135,                 4.5621,                 1.3719,                0.18376,                0.10685,                0.03649,                 0.0245,                 1.3464,                 3.9692,                 1.2445,             0.00010349,             0.00010349,             0.00010349
                      2,                 1.4135,                 3.6758,                 1.2766,                0.19697,                0.16101,                0.07401,                0.05173,                 1.2616,                 3.5003,                 1.2087,              0.0002037,              0.0002037,              0.0002037
                      3,                 1.3179,                 3.2051,                 1.2615,                0.21423,                0.27446,                0.16547,                 0.1157,                 1.2195,                 3.2437,                 1.2011,             0.00029979,             0.00029979,             0.00029979
                      4,                 1.2588,                 2.8983,                 1.2459,                0.27181,                0.31093,                0.21245,                0.14507,                 1.2388,                 2.9903,                 1.2199,             0.00029441,             0.00029441,             0.00029441
                      5,                 1.2263,                 2.7214,                 1.2233,                 0.3024,                0.35906,                0.25112,                0.17914,                 1.1113,                  2.901,                 1.1457,             0.00028821,             0.00028821,             0.00028821
                      6,                 1.1898,                 2.5643,                  1.191,                0.47642,                0.31289,                0.29756,                0.21775,                 1.0898,                 2.5949,                 1.1286,             0.00028201,             0.00028201,             0.00028201
                      7,                  1.171,                 2.4349,                 1.1827,                  0.446,                0.36898,                0.33248,                0.24352,                 1.0982,                 2.4553,                  1.121,             0.00027582,             0.00027582,             0.00027582
                      8,                 1.1555,                 2.3859,                 1.1766,                0.34225,                0.39881,                0.32068,                0.23329,                 1.0694,                 2.4377,                 1.1466,             0.00026962,             0.00026962,             0.00026962
                      9,                  1.114,                 2.2856,                 1.1553,                0.40498,                0.42055,                0.32435,                0.23288,                 1.0885,                  2.495,                 1.1378,             0.00026342,             0.00026342,             0.00026342
                     10,                 1.1175,                  2.222,                 1.1544,                0.43713,                0.38197,                0.36343,                0.26852,                 1.0604,                  2.371,                 1.1105,             0.00025722,             0.00025722,             0.00025722
                     11,                 1.0981,                 2.1843,                 1.1453,                0.38273,                0.45594,                 0.3879,                0.28562,                 1.0412,                 2.2567,                 1.1047,             0.00025103,             0.00025103,             0.00025103
                     12,                 1.0932,                 2.1233,                 1.1366,                 0.4205,                0.43964,                0.39586,                 0.2925,                 1.0826,                 2.2337,                 1.1231,             0.00024483,             0.00024483,             0.00024483
                     13,                 1.0874,                 2.0773,                 1.1376,                0.39502,                0.46437,                0.39332,                0.29178,                 1.0677,                 2.2534,                 1.1161,             0.00023863,             0.00023863,             0.00023863
                     14,                 1.0875,                  2.041,                 1.1364,                0.42038,                0.42636,                 0.3813,                0.27529,                 1.0944,                 2.2346,                 1.1301,             0.00023243,             0.00023243,             0.00023243
                     15,                 1.0687,                 1.9857,                 1.1214,                0.49235,                0.39701,                0.39635,                0.29529,                 1.0443,                 2.1631,                 1.1092,             0.00022624,             0.00022624,             0.00022624
                     16,                 1.0529,                 1.9264,                 1.1126,                0.45824,                0.43026,                0.39237,                 0.2907,                 1.0693,                 2.1869,                 1.1161,             0.00022004,             0.00022004,             0.00022004
                     17,                 1.0396,                 1.9176,                 1.1091,                0.40687,                 0.4398,                0.39126,                 0.2924,                 1.0643,                 2.1822,                 1.1074,             0.00021384,             0.00021384,             0.00021384
                     18,                 1.0391,                 1.8995,                 1.1081,                 0.4184,                0.42968,                0.39049,                0.27868,                 1.0863,                 2.2272,                 1.1411,             0.00020764,             0.00020764,             0.00020764
                     19,                 1.0103,                 1.8504,                  1.095,                0.37387,                0.45537,                0.37898,                0.27762,                 1.0824,                 2.1885,                 1.1312,             0.00020145,             0.00020145,             0.00020145
                     20,                 1.0303,                 1.8224,                 1.0991,                0.44451,                0.43589,                0.41459,                0.31024,                 1.0175,                 2.0631,                 1.0918,             0.00019525,             0.00019525,             0.00019525
                     21,                  1.015,                 1.7713,                 1.0914,                0.43581,                0.44566,                 0.4211,                0.31476,                 1.0311,                   2.07,                 1.0954,             0.00018905,             0.00018905,             0.00018905
                     22,                 1.0064,                 1.7697,                 1.0858,                0.45714,                0.43335,                0.40983,                  0.305,                 1.0192,                 2.1083,                 1.1039,             0.00018285,             0.00018285,             0.00018285
                     23,                0.99387,                 1.7306,                 1.0812,                0.43418,                0.50104,                0.43184,                0.31946,                 1.0115,                 2.0291,                 1.0832,             0.00017666,             0.00017666,             0.00017666
                     24,                0.99219,                  1.704,                  1.082,                0.40861,                0.46526,                0.43183,                0.31965,                 1.0459,                 2.0669,                 1.1101,             0.00017046,             0.00017046,             0.00017046
                     25,                0.99557,                 1.6741,                 1.0808,                0.44881,                 0.4504,                0.42788,                0.31873,                 1.0237,                 2.0505,                 1.0987,             0.00016426,             0.00016426,             0.00016426
                     26,                0.97129,                 1.6437,                 1.0645,                0.48046,                0.46558,                0.43928,                0.32769,                  1.022,                  2.007,                 1.0926,             0.00015807,             0.00015807,             0.00015807
                     27,                0.96221,                 1.6432,                 1.0631,                0.42059,                0.46798,                0.41534,                0.30592,                 1.0495,                 2.0534,                  1.109,             0.00015187,             0.00015187,             0.00015187
                     28,                0.96402,                 1.5899,                 1.0615,                0.48388,                0.46807,                0.45009,                0.33599,                 1.0066,                 1.9596,                 1.0892,             0.00014567,             0.00014567,             0.00014567
                     29,                0.96542,                 1.5876,                 1.0617,                0.49304,                 0.4392,                 0.4401,                0.33177,                 1.0118,                 2.0339,                 1.0915,             0.00013947,             0.00013947,             0.00013947
                     30,                0.96001,                 1.5615,                 1.0642,                0.50246,                0.48232,                0.45512,                0.34108,                 1.0132,                 2.0029,                 1.0884,             0.00013328,             0.00013328,             0.00013328
                     31,                0.95933,                 1.5605,                 1.0606,                0.47609,                0.46247,                0.42236,                0.30781,                 1.0472,                 2.0768,                 1.1085,             0.00012708,             0.00012708,             0.00012708
                     32,                0.94655,                 1.5209,                 1.0518,                0.50313,                0.42986,                0.43734,                0.32806,                 1.0218,                 2.0332,                 1.0968,             0.00012088,             0.00012088,             0.00012088
                     33,                0.93061,                 1.4894,                 1.0461,                0.42714,                0.46082,                0.44206,                0.32712,                  1.025,                 2.0301,                 1.1033,             0.00011468,             0.00011468,             0.00011468
                     34,                0.94018,                 1.4893,                 1.0495,                0.51437,                0.43357,                0.44471,                0.33479,                 1.0245,                 2.0005,                 1.1018,             0.00010849,             0.00010849,             0.00010849
                     35,                0.92244,                 1.4565,                 1.0407,                0.51254,                 0.4452,                0.45282,                 0.3375,                 1.0216,                 1.9709,                 1.1025,             0.00010229,             0.00010229,             0.00010229
                     36,                0.92563,                 1.4554,                 1.0416,                0.44487,                0.47481,                0.43288,                0.32415,                  1.019,                  2.041,                 1.0989,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                0.91757,                 1.4156,                 1.0394,                0.49375,                0.47373,                0.45904,                 0.3365,                 1.0184,                 1.9645,                 1.0946,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                0.91515,                 1.4012,                 1.0326,                0.47911,                0.47217,                 0.4411,                0.32812,                 1.0169,                  2.009,                  1.101,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                 0.9146,                 1.4027,                 1.0359,                0.47228,                0.50206,                0.45272,                0.33809,                 1.0149,                 1.9703,                 1.0954,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                0.91036,                 1.3959,                 1.0371,                0.49533,                0.47061,                0.45569,                0.34145,                  1.004,                 1.9712,                 1.0888,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                0.87497,                 1.4357,                 1.0207,                0.47926,                0.43604,                0.42445,                0.31415,                 1.0536,                 2.0659,                 1.1216,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                0.81775,                 1.2535,                0.99394,                0.46374,                 0.4632,                0.43345,                0.32158,                 1.0408,                 2.0445,                  1.112,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                 0.7948,                 1.1882,                0.98151,                0.47519,                0.46238,                0.43604,                0.32097,                 1.0412,                 2.0415,                 1.1156,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                 0.7946,                 1.1803,                0.97328,                0.48029,                0.46749,                0.45236,                0.33347,                 1.0121,                 1.9833,                 1.0956,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                 0.7865,                 1.1592,                0.97532,                0.51956,                0.44338,                0.45611,                0.33985,                 1.0176,                  2.014,                 1.0988,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                0.77702,                 1.1334,                0.97076,                0.51173,                0.43786,                0.44643,                0.32841,                  1.025,                 2.0221,                 1.1044,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.77448,                 1.1331,                0.96815,                 0.5055,                0.45751,                0.45511,                0.33637,                 1.0255,                 1.9985,                 1.1018,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                0.77025,                  1.111,                 0.9669,                0.49205,                0.46222,                0.45193,                0.33463,                 1.0213,                 2.0164,                 1.1029,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     49,                0.76634,                 1.1057,                0.96775,                0.50595,                0.45537,                0.45479,                0.33643,                 1.0178,                 2.0008,                 1.1014,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     50,                0.77898,                  1.103,                0.97214,                0.53178,                0.43595,                0.45093,                0.33599,                 1.0176,                 2.0054,                 1.1009,             9.3274e-06,             9.3274e-06,             9.3274e-06
