                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.684,                 4.5304,                 1.4933,                0.26611,                0.13931,                0.04752,                0.03237,                 1.3589,                 3.9208,                 1.2585,             0.00010366,             0.00010366,             0.00010366
                      2,                 1.5478,                 3.6506,                 1.3814,                0.30806,                0.12388,                0.08331,                0.06007,                 1.2227,                 3.3745,                 1.1854,             0.00020387,             0.00020387,             0.00020387
                      3,                 1.4796,                 3.2416,                 1.3735,                0.30477,                0.25793,                0.16673,                0.11246,                 1.2334,                 3.0446,                 1.1781,             0.00029995,             0.00029995,             0.00029995
                      4,                 1.4142,                 2.9952,                 1.3521,                0.36773,                0.32075,                0.23156,                 0.1646,                 1.1274,                 2.7948,                 1.1355,             0.00029441,             0.00029441,             0.00029441
                      5,                 1.3809,                 2.8081,                 1.3278,                0.28944,                0.37887,                0.26436,                0.19063,                 1.1486,                 2.6759,                 1.1432,             0.00028821,             0.00028821,             0.00028821
                      6,                 1.3548,                 2.6804,                 1.3107,                0.45271,                0.33431,                0.31333,                0.23082,                 1.0732,                 2.5166,                 1.1276,             0.00028201,             0.00028201,             0.00028201
                      7,                 1.3183,                 2.5964,                 1.2915,                0.40898,                0.37064,                0.30948,                0.22397,                  1.116,                 2.4736,                 1.1287,             0.00027582,             0.00027582,             0.00027582
                      8,                 1.3044,                 2.5096,                 1.2838,                0.36205,                0.39962,                0.30992,                0.21392,                 1.1478,                 2.6038,                 1.1608,             0.00026962,             0.00026962,             0.00026962
                      9,                 1.2864,                   2.44,                 1.2711,                0.33775,                 0.4192,                 0.3323,                0.24725,                  1.054,                 2.4062,                 1.1128,             0.00026342,             0.00026342,             0.00026342
                     10,                 1.2656,                 2.3761,                  1.253,                0.42571,                0.38652,                0.35213,                 0.2574,                 1.0568,                 2.3939,                 1.1285,             0.00025722,             0.00025722,             0.00025722
                     11,                 1.2622,                 2.3246,                  1.253,                 0.4253,                0.40254,                0.37152,                0.27834,                 1.0341,                   2.26,                 1.1057,             0.00025103,             0.00025103,             0.00025103
                     12,                 1.2515,                 2.2791,                 1.2429,                0.40134,                0.46708,                0.39064,                0.28995,                 1.0394,                 2.1666,                 1.1071,             0.00024483,             0.00024483,             0.00024483
                     13,                 1.2424,                 2.2313,                 1.2372,                0.44962,                0.44163,                 0.4062,                0.29906,                 1.0445,                 2.1425,                 1.1078,             0.00023863,             0.00023863,             0.00023863
                     14,                 1.2361,                 2.2014,                 1.2352,                0.44365,                0.45437,                 0.3996,                0.29452,                 1.0279,                    2.2,                 1.0995,             0.00023243,             0.00023243,             0.00023243
                     15,                 1.2175,                 2.1588,                 1.2254,                0.43752,                0.44489,                0.39796,                0.28804,                 1.0801,                 2.1366,                 1.1102,             0.00022624,             0.00022624,             0.00022624
                     16,                 1.1958,                 2.1002,                 1.2112,                0.43604,                0.44189,                0.41052,                0.30373,                 1.0383,                  2.097,                 1.0986,             0.00022004,             0.00022004,             0.00022004
                     17,                 1.1989,                 2.0899,                  1.211,                 0.4626,                0.44899,                0.42573,                0.32034,                 1.0319,                 2.0391,                 1.0934,             0.00021384,             0.00021384,             0.00021384
                     18,                 1.2009,                 2.0686,                 1.2133,                0.42332,                0.46836,                0.41647,                0.31015,                 1.0162,                 2.0767,                 1.0895,             0.00020764,             0.00020764,             0.00020764
                     19,                 1.1762,                  2.019,                 1.1961,                0.46355,                0.43669,                0.42359,                0.31758,                 1.0156,                 2.0582,                 1.0897,             0.00020145,             0.00020145,             0.00020145
                     20,                 1.1884,                 2.0047,                 1.2007,                 0.4853,                 0.4408,                0.42907,                 0.3224,                 1.0343,                 2.0178,                 1.0955,             0.00019525,             0.00019525,             0.00019525
                     21,                  1.173,                 1.9767,                 1.1977,                0.45482,                0.46892,                0.42574,                0.31729,                 1.0063,                 2.0242,                 1.0821,             0.00018905,             0.00018905,             0.00018905
                     22,                 1.1592,                 1.9534,                 1.1865,                0.48246,                0.43134,                 0.4431,                0.33349,                 1.0035,                 1.9679,                 1.0824,             0.00018285,             0.00018285,             0.00018285
                     23,                 1.1546,                 1.9356,                 1.1873,                0.46003,                 0.4323,                0.41412,                0.30856,                 1.0363,                  2.039,                 1.0996,             0.00017666,             0.00017666,             0.00017666
                     24,                 1.1436,                 1.8901,                 1.1747,                0.45103,                0.47096,                0.43004,                0.32331,                 1.0078,                 2.0283,                 1.0822,             0.00017046,             0.00017046,             0.00017046
                     25,                 1.1376,                  1.866,                 1.1733,                0.45374,                0.48877,                0.43624,                0.32597,                 1.0377,                  1.987,                 1.0976,             0.00016426,             0.00016426,             0.00016426
                     26,                 1.1467,                 1.8691,                 1.1761,                0.48907,                 0.4597,                0.44553,                0.33311,                 1.0078,                 1.9853,                 1.0909,             0.00015807,             0.00015807,             0.00015807
                     27,                 1.1364,                 1.8304,                  1.169,                 0.4787,                0.46056,                0.44665,                0.33415,                 1.0076,                 1.9834,                 1.0895,             0.00015187,             0.00015187,             0.00015187
                     28,                   1.12,                 1.8097,                 1.1595,                0.49003,                0.45216,                0.45343,                0.33961,                 1.0317,                 1.9447,                 1.0919,             0.00014567,             0.00014567,             0.00014567
                     29,                 1.1294,                 1.7872,                 1.1648,                0.54679,                0.42947,                0.45742,                0.34196,                 1.0188,                 1.9787,                 1.0918,             0.00013947,             0.00013947,             0.00013947
                     30,                 1.1249,                 1.7936,                 1.1635,                0.51382,                 0.4584,                0.44762,                0.33166,                 1.0171,                 1.9425,                 1.0856,             0.00013328,             0.00013328,             0.00013328
                     31,                 1.1132,                 1.7708,                 1.1554,                0.46171,                0.46264,                0.44128,                0.32899,                 1.0431,                 1.9987,                 1.1026,             0.00012708,             0.00012708,             0.00012708
                     32,                 1.0857,                 1.7081,                 1.1458,                0.47317,                0.46485,                0.44751,                0.33517,                 1.0022,                 2.0043,                  1.085,             0.00012088,             0.00012088,             0.00012088
                     33,                 1.1035,                 1.7248,                 1.1444,                0.49618,                0.45803,                0.45058,                0.33664,                 1.0185,                 1.9712,                 1.0959,             0.00011468,             0.00011468,             0.00011468
                     34,                 1.1037,                 1.7121,                 1.1525,                0.49642,                0.44856,                0.45031,                0.33785,                0.99646,                  1.933,                 1.0844,             0.00010849,             0.00010849,             0.00010849
                     35,                 1.0744,                 1.6607,                 1.1356,                0.48176,                0.46875,                0.44434,                0.33156,                 1.0068,                 1.9798,                 1.0931,             0.00010229,             0.00010229,             0.00010229
                     36,                 1.0839,                 1.6489,                 1.1365,                0.47421,                0.45119,                0.43248,                0.32511,                 1.0145,                 2.0622,                 1.0943,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                 1.0733,                 1.6297,                 1.1315,                 0.4986,                0.43114,                0.43262,                0.32233,                 1.0273,                  2.004,                 1.0991,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                 1.0746,                 1.6178,                 1.1312,                0.50524,                0.44909,                 0.4526,                0.33961,                 1.0113,                 1.9735,                 1.0955,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                   1.06,                 1.5909,                 1.1252,                 0.4823,                 0.4559,                0.45204,                0.33715,                 1.0087,                 1.9644,                 1.0927,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                 1.0597,                 1.5967,                 1.1185,                0.49113,                0.45582,                0.44917,                0.33505,                 1.0194,                 1.9651,                 1.0999,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                 1.0128,                 1.5836,                 1.1145,                0.44989,                0.45384,                0.41784,                0.30701,                  1.051,                  2.073,                 1.1229,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                0.95855,                 1.4308,                 1.0827,                 0.5154,                0.42956,                0.44273,                0.33018,                 1.0347,                 2.0109,                 1.1065,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                0.96009,                 1.4066,                 1.0829,                0.51092,                0.42872,                 0.4485,                0.33787,                 1.0109,                 1.9776,                 1.0904,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                 0.9429,                 1.3794,                 1.0716,                0.51015,                0.41927,                0.44858,                 0.3363,                 1.0196,                 1.9796,                 1.1015,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                0.94162,                  1.359,                 1.0682,                0.41426,                0.48322,                 0.4498,                0.33646,                 1.0211,                 2.0094,                 1.0997,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                0.93904,                 1.3433,                 1.0712,                0.46774,                  0.469,                0.44661,                0.33449,                 1.0226,                  2.021,                 1.0985,             3.4117e-05,             3.4117e-05,             3.4117e-05
