                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8554,                 4.6924,                  1.614,                0.26803,                0.09062,                0.03413,                0.02328,                 1.3864,                 4.1558,                 1.2678,             0.00010349,             0.00010349,             0.00010349
                      2,                 1.7461,                 3.8855,                 1.4802,                0.24997,                0.16019,                0.06605,                0.04505,                 1.3413,                 3.5353,                 1.2342,              0.0002037,              0.0002037,              0.0002037
                      3,                 1.6738,                 3.4952,                 1.4837,                0.20578,                0.20087,                0.12741,                0.08863,                 1.2538,                 3.3032,                 1.2206,             0.00029979,             0.00029979,             0.00029979
                      4,                 1.6215,                 3.2535,                 1.4781,                0.28036,                0.25483,                0.17474,                 0.1193,                 1.2609,                  3.097,                 1.2328,             0.00029441,             0.00029441,             0.00029441
                      5,                  1.564,                 3.0765,                 1.4386,                0.33302,                0.30884,                0.23248,                 0.1662,                 1.1423,                 2.8801,                 1.1717,             0.00028821,             0.00028821,             0.00028821
                      6,                 1.5347,                 2.9505,                   1.42,                0.42856,                0.27954,                0.25557,                0.18427,                 1.1765,                  2.774,                 1.1653,             0.00028201,             0.00028201,             0.00028201
                      7,                 1.5116,                 2.8273,                 1.4034,                0.36751,                0.32921,                0.28079,                0.20489,                 1.1279,                 2.6507,                 1.1372,             0.00027582,             0.00027582,             0.00027582
                      8,                 1.4928,                 2.7821,                 1.3926,                0.38791,                0.31851,                0.26866,                0.19336,                 1.1099,                 2.6243,                 1.1584,             0.00026962,             0.00026962,             0.00026962
                      9,                 1.4663,                 2.7088,                 1.3754,                0.34528,                0.32145,                0.27717,                0.20087,                 1.1161,                 2.6877,                 1.1567,             0.00026342,             0.00026342,             0.00026342
                     10,                 1.4395,                 2.6418,                 1.3596,                0.38739,                0.38446,                0.32101,                0.23363,                 1.1178,                 2.5041,                 1.1524,             0.00025722,             0.00025722,             0.00025722
                     11,                 1.4291,                 2.6042,                 1.3594,                0.35609,                0.37348,                 0.3153,                 0.2244,                 1.1343,                 2.5506,                 1.1651,             0.00025103,             0.00025103,             0.00025103
                     12,                 1.4213,                 2.5359,                 1.3435,                0.38557,                0.38533,                0.33639,                0.24627,                 1.0937,                 2.4527,                 1.1389,             0.00024483,             0.00024483,             0.00024483
                     13,                 1.3983,                  2.498,                 1.3333,                0.40384,                0.38337,                0.34027,                0.25371,                 1.0927,                 2.3805,                 1.1301,             0.00023863,             0.00023863,             0.00023863
                     14,                 1.4058,                 2.4628,                 1.3364,                0.44968,                0.34781,                0.32515,                0.23529,                 1.1315,                 2.4358,                 1.1581,             0.00023243,             0.00023243,             0.00023243
